occurrenceID,verbatimMeasurementType,measurementType,measurementValue,measurementUnit
TANGO_1-SCUBA_2-S1_O1-25,sizeAmbitus,Size ambitus of sea urchin in mm,48,mm
TANGO_1-SCUBA_2-S1_O1-25,height,Height of sea urchin in mm,33,mm
TANGO_1-SCUBA_2-S1_O1-25,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.36,per mille
TANGO_1-SCUBA_2-S1_O1-25,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.86,per mille
TANGO_1-SCUBA_2-S1_O1-25,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.74,per mille
TANGO_1-SCUBA_2-S1_O2-26,sizeAmbitus,Size ambitus of sea urchin in mm,44,mm
TANGO_1-SCUBA_2-S1_O2-26,height,Height of sea urchin in mm,29,mm
TANGO_1-SCUBA_2-S1_O2-26,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.42,per mille
TANGO_1-SCUBA_2-S1_O2-26,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.56,per mille
TANGO_1-SCUBA_2-S1_O2-26,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.4,per mille
TANGO_1-SCUBA_2-S1_O3-27,sizeAmbitus,Size ambitus of sea urchin in mm,59,mm
TANGO_1-SCUBA_2-S1_O3-27,height,Height of sea urchin in mm,36,mm
TANGO_1-SCUBA_2-S1_O3-27,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.23,per mille
TANGO_1-SCUBA_2-S1_O3-27,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.81,per mille
TANGO_1-SCUBA_2-S1_O3-27,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.59,per mille
TANGO_1-SCUBA_2-S1_O4-28,sizeAmbitus,Size ambitus of sea urchin in mm,63,mm
TANGO_1-SCUBA_2-S1_O4-28,height,Height of sea urchin in mm,37,mm
TANGO_1-SCUBA_2-S1_O4-28,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-11.48,per mille
TANGO_1-SCUBA_2-S1_O4-28,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.44,per mille
TANGO_1-SCUBA_2-S1_O4-28,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.29,per mille
TANGO_1-SCUBA_2-S1_O5-29,sizeAmbitus,Size ambitus of sea urchin in mm,60,mm
TANGO_1-SCUBA_2-S1_O5-29,height,Height of sea urchin in mm,40,mm
TANGO_1-SCUBA_2-S1_O5-29,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-11.53,per mille
TANGO_1-SCUBA_2-S1_O5-29,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.25,per mille
TANGO_1-SCUBA_2-S1_O5-29,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.74,per mille
TANGO_1-SCUBA_2-S1_O6-30,sizeAmbitus,Size ambitus of sea urchin in mm,51,mm
TANGO_1-SCUBA_2-S1_O6-30,height,Height of sea urchin in mm,33,mm
TANGO_1-SCUBA_2-S1_O6-30,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.35,per mille
TANGO_1-SCUBA_2-S1_O6-30,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.36,per mille
TANGO_1-SCUBA_2-S1_O6-30,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.17,per mille
TANGO_1-SCUBA_2-S1_O7-31,sizeAmbitus,Size ambitus of sea urchin in mm,46,mm
TANGO_1-SCUBA_2-S1_O7-31,height,Height of sea urchin in mm,32,mm
TANGO_1-SCUBA_2-S1_O7-31,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-11.8,per mille
TANGO_1-SCUBA_2-S1_O7-31,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.65,per mille
TANGO_1-SCUBA_2-S1_O7-31,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.26,per mille
TANGO_1-SCUBA_2-S1_O8-32,sizeAmbitus,Size ambitus of sea urchin in mm,56,mm
TANGO_1-SCUBA_2-S1_O8-32,height,Height of sea urchin in mm,38,mm
TANGO_1-SCUBA_2-S1_O8-32,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.59,per mille
TANGO_1-SCUBA_2-S1_O8-32,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.18,per mille
TANGO_1-SCUBA_2-S1_O8-32,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.73,per mille
TANGO_1-SCUBA_2-S1_O9-33,sizeAmbitus,Size ambitus of sea urchin in mm,64,mm
TANGO_1-SCUBA_2-S1_O9-33,height,Height of sea urchin in mm,39,mm
TANGO_1-SCUBA_2-S1_O9-33,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-11.7,per mille
TANGO_1-SCUBA_2-S1_O9-33,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.5,per mille
TANGO_1-SCUBA_2-S1_O9-33,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.43,per mille
TANGO_1-SCUBA_2-S1_O10-34,sizeAmbitus,Size ambitus of sea urchin in mm,44,mm
TANGO_1-SCUBA_2-S1_O10-34,height,Height of sea urchin in mm,32,mm
TANGO_1-SCUBA_2-S1_O10-34,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.06,per mille
TANGO_1-SCUBA_2-S1_O10-34,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.19,per mille
TANGO_1-SCUBA_2-S1_O10-34,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.81,per mille
TANGO_1-SCUBA_2-S1_O11-35,sizeAmbitus,Size ambitus of sea urchin in mm,58,mm
TANGO_1-SCUBA_2-S1_O11-35,height,Height of sea urchin in mm,37,mm
TANGO_1-SCUBA_2-S1_O11-35,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-10.88,per mille
TANGO_1-SCUBA_2-S1_O11-35,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.89,per mille
TANGO_1-SCUBA_2-S1_O11-35,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.3,per mille
TANGO_1-SCUBA_2-S1_O13-37,sizeAmbitus,Size ambitus of sea urchin in mm,51,mm
TANGO_1-SCUBA_2-S1_O13-37,height,Height of sea urchin in mm,27,mm
TANGO_1-SCUBA_2-S1_O13-37,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-11.73,per mille
TANGO_1-SCUBA_2-S1_O13-37,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.17,per mille
TANGO_1-SCUBA_2-S1_O13-37,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.88,per mille
TANGO_1-SCUBA_2-S1_O15-39,sizeAmbitus,Size ambitus of sea urchin in mm,42,mm
TANGO_1-SCUBA_2-S1_O15-39,height,Height of sea urchin in mm,23,mm
TANGO_1-SCUBA_2-S1_O15-39,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.22,per mille
TANGO_1-SCUBA_2-S1_O15-39,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.92,per mille
TANGO_1-SCUBA_2-S1_O15-39,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.44,per mille
TANGO_1-SCUBA_2-S1_O17-41,sizeAmbitus,Size ambitus of sea urchin in mm,53,mm
TANGO_1-SCUBA_2-S1_O17-41,height,Height of sea urchin in mm,37,mm
TANGO_1-SCUBA_2-S1_O17-41,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.56,per mille
TANGO_1-SCUBA_2-S1_O17-41,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.97,per mille
TANGO_1-SCUBA_2-S1_O17-41,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.18,per mille
TANGO_1-SCUBA_2-S1_O18-42,sizeAmbitus,Size ambitus of sea urchin in mm,52,mm
