occurrenceID	materialEntityID	organismID	siteID	eventID	parentEventID	eventDate	eventTime	eventRemarks	samplingProtocol	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	verbatimLatitude	verbatimLongitude	verbatimDepth	locality	higherGeographyID	scientificName	scientificNameID	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	identificationQualifier	verbatimIdentification	identifiedBy	identifiedByID	sex	preparations	recordedBy	recordedByID	sizeAmbitus	height	d13C	d15N	d34S	expedition
TANGO_1-SCUBA_2-S1_O1-25	25	S1_O1	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	male	Dissected	Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	48	33	-12.355739901138923	8.856031478314922	14.739808021892035	TANGO_1
TANGO_1-SCUBA_2-S1_O2-26	26	S1_O2	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	44	29	-12.418105751535983	9.556670959892733	15.402827384552234	TANGO_1
TANGO_1-SCUBA_2-S1_O3-27	27	S1_O3	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	59	36	-12.232596083920498	9.813150837894684	15.587733040404018	TANGO_1
TANGO_1-SCUBA_2-S1_O4-28	28	S1_O4	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	63	37	-11.475204248440752	9.4355042466521	16.29097066481309	TANGO_1
TANGO_1-SCUBA_2-S1_O5-29	29	S1_O5	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	60	40	-11.530309234343639	9.252969576246697	15.744515040978293	TANGO_1
TANGO_1-SCUBA_2-S1_O6-30	30	S1_O6	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	male		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	51	33	-12.351744184622264	9.358336408877806	14.171796637821751	TANGO_1
TANGO_1-SCUBA_2-S1_O7-31	31	S1_O7	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	46	32	-11.800265076322836	9.652794320762158	16.259907492468407	TANGO_1
TANGO_1-SCUBA_2-S1_O8-32	32	S1_O8	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	male		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	56	38	-12.592012468525828	9.178876474500992	16.732780421147314	TANGO_1
TANGO_1-SCUBA_2-S1_O9-33	33	S1_O9	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	64	39	-11.704029008678233	9.50154044307415	16.426920137948322	TANGO_1
TANGO_1-SCUBA_2-S1_O10-34	34	S1_O10	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	44	32	-12.057633496429471	9.192092458759443	16.810055390003352	TANGO_1
