materialEntityID	organismID	siteID	eventID	parentEventID	eventDate	eventTime	eventRemarks	samplingProtocol	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	verbatimLatitude	verbatimLongitude	verbatimDepth	locality	higherGeographyID	scientificName	scientificNameID	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	identificationQualifier	verbatimIdentification	identifiedBy	identifiedByID	individualCount	organismQuantity	organismQuantityType	sex	preparations	recordedBy	recordedByID	expedition	occurrenceID	measurementType	measurementValue
25	S1_O1	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	male	Dissected	Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O1-25	sizeAmbitus	48
25	S1_O1	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	male	Dissected	Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O1-25	height	33
25	S1_O1	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	male	Dissected	Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O1-25	d13C	-12.355739901138923
25	S1_O1	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	male	Dissected	Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O1-25	d15N	8.856031478314922
25	S1_O1	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	male	Dissected	Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O1-25	d34S	14.739808021892035
26	S1_O2	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O2-26	sizeAmbitus	44
26	S1_O2	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O2-26	height	29
26	S1_O2	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O2-26	d13C	-12.418105751535983
26	S1_O2	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O2-26	d15N	9.556670959892733
26	S1_O2	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O2-26	d34S	15.402827384552234
